Beer Name (Full),Name,Brewery,Style_Main,Style_Sub,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Badische Staatsbrauerei Rothaus AG Rothaus Pils Tannen Zäpfle,Rothaus Pils Tannen Zäpfle,Badische Staatsbrauerei Rothaus AG,Pilsner,German,5.1,25,40,34,46,2,45,18,22,1,23,95,4,67,3.958333,3.958333,4.145833,4.25,4.458333,24
Abita Brewing Co. SOS (Save Our Shore),SOS (Save Our Shore),Abita Brewing Co.,Pilsner,German,7.0,25,40,23,42,9,61,38,36,4,43,101,20,76,3.677725,3.952607,3.706161,3.71564,3.864929,211
Saint Arnold Brewing Company Saint Arnold Summer Pils,Summer Pils,Saint Arnold Brewing Company,Pilsner,German,4.9,25,40,24,24,8,47,24,14,0,12,59,2,55,3.453846,3.584615,3.611538,3.538462,3.873077,130
Wernesgrüner Brauerei AG Wernesgruner,Wernesgruner,Wernesgrüner Brauerei AG,Pilsner,German,4.9,25,40,18,11,5,25,14,6,5,6,38,2,43,3.27972,3.496503,3.363636,3.391608,3.625874,143
Brauerei C. & A. Veltins GmbH & Co. Veltins Pilsner,Pilsener,Brauerei C. & A. Veltins GmbH & Co.,Pilsner,German,4.8,25,40,31,32,8,40,26,11,4,11,69,11,67,3.282609,3.5,3.46087,3.46087,3.73913,115
Brauerei Pinkus Mueller Organic Ur Pils,Organic Ur Pils,Brauerei Pinkus Mueller,Pilsner,German,5.2,25,40,42,36,12,42,38,31,10,28,91,11,95,3.67907,3.669767,3.765116,3.767442,3.904651,215
Real Ale Brewing Company Hans' Pils,Hans' Pils,Real Ale Brewing Company,Pilsner,German,5.3,25,40,24,17,9,43,19,20,2,20,73,10,49,4.0,3.958333,4.041667,4.0,4.125,12
Paulaner Brauerei GmbH & Co. KG Paulaner Premium Pils,Premium Pils,Paulaner Brauerei GmbH & Co. KG,Pilsner,German,4.9,25,40,51,32,2,52,29,12,5,14,74,8,78,3.578804,3.76087,3.774457,3.69837,4.008152,184
New England Brewing Co. Elm City Lager,Elm City Lager,New England Brewing Co.,Pilsner,German,5.0,25,40,38,20,6,56,18,21,2,21,79,5,56,3.659722,3.815972,3.8125,3.829861,4.090278,144
Kulmbacher Brauerei AG EKU Pils,EKU Pils,Kulmbacher Brauerei AG,Pilsner,German,5.0,25,40,32,27,5,36,43,18,7,18,58,5,70,3.5,3.685976,3.631098,3.57622,3.82622,164
Flensburger Brauerei GmbH Und Co. KG Flensburger Pilsener,Flensburger Pilsener,Flensburger Brauerei GmbH Und Co. KG,Pilsner,German,4.8,25,40,30,28,9,68,11,11,5,10,105,6,86,3.309278,3.675258,3.453608,3.489691,3.613402,97
Dinkelacker-Schwabenbraeu AG Dinkel Acker Cd-Pils,Dinkelacker CD-Pils,Dinkelacker-Schwabenbraeu AG,Pilsner,German,4.9,25,40,46,34,6,46,37,18,8,19,85,24,98,3.301948,3.551948,3.512987,3.532468,3.733766,154
Austin Beerworks Pearl Snap Pils,Pearl-Snap,Austin Beerworks,Pilsner,German,5.3,25,40,30,25,8,44,17,14,5,17,68,8,57,3.815789,3.894737,4.078947,4.078947,4.0,19
Minhas Craft Brewery Simpler Times Pilsner,Simpler Times Pilsner,Minhas Craft Brewery,Pilsner,German,5.5,25,40,5,11,7,19,30,25,0,32,20,3,26,2.838889,3.305556,3.1,2.894444,3.177778,90
New Glarus Brewing Company Home Town Blonde,Hometown Blonde,New Glarus Brewing Company,Pilsner,German,4.8,25,40,77,43,9,91,36,42,8,50,149,22,117,3.820513,3.794872,3.948718,4.076923,4.282051,39
Brasserie Almaza S.A.L. Almaza Pilsner Beer,Almaza Pilsner Beer,Brasserie Almaza S.A.L.,Pilsner,German,4.2,25,40,29,22,8,27,24,14,3,10,55,4,63,2.738532,3.114679,2.807339,2.788991,3.013761,109
Victory Brewing Company Braumeister Pils,Braumeister Pils,Victory Brewing Company,Pilsner,German,5.5,25,40,47,20,4,48,18,5,5,7,82,11,54,4.0,3.988636,4.102273,4.215909,4.284091,44
Hofbrauhaus Wolters GmbH Wolters Pilsener Premium,Wolters Pilsener,Hofbrauhaus Wolters GmbH,Pilsner,German,4.9,25,40,17,21,2,38,17,4,4,8,56,4,44,3.232143,3.607143,3.580357,3.375,3.678571,56
Kulmbacher Brauerei AG Kulmbacher Edelherb Premium Pils,Kulmbacher Edelherb Premium Pils,Kulmbacher Brauerei AG,Pilsner,German,4.9,25,40,47,38,8,49,24,10,10,11,99,12,88,3.631579,3.763158,3.796053,3.875,3.986842,76
Dogfish Head Brewery My Antonia,My Antonia,Dogfish Head Brewery,Pilsner,Imperial,7.5,30,65,14,37,18,55,37,35,0,43,62,13,47,3.915493,4.200704,4.003521,4.08216,4.103286,426
Southern Tier Brewing Company Krampus (Imperial Helles Lager),Krampus,Southern Tier Brewing Company,Pilsner,Imperial,9.0,30,65,14,44,21,53,43,31,3,35,86,4,56,3.978571,4.088571,3.932857,3.941429,3.841429,350
Boston Beer Company (Samuel Adams) Samuel Adams Hallertau Imperial Pilsner,Samuel Adams Hallertau Imperial PilsnerBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams),Pilsner,Imperial,8.1,30,65,17,65,18,120,45,42,1,48,139,9,56,4.120344,4.123209,3.998567,4.10745,3.838825,698
Rogue Ales Morimoto Imperial Pilsner,Morimoto Imperial Pilsner,Rogue Ales,Pilsner,Imperial,8.8,30,65,18,46,25,61,48,24,4,29,108,13,61,3.94582,4.095975,4.065015,4.157895,4.037152,323
Short's Brewing Company Imperial Spruce India Pilsner,Imperial Spruce India Pilsner,Short's Brewing Company,Pilsner,Imperial,7.15,30,65,14,25,15,25,11,8,2,17,95,2,19,4.201681,4.033613,3.932773,4.05042,3.823529,119
Three Floyds Brewing Co. & Brewpub Evil Power,Evil Power,Three Floyds Brewing Co. & Brewpub,Pilsner,Imperial,7.2,30,65,37,50,13,62,38,44,0,44,100,9,82,3.428571,3.803571,3.607143,3.508929,3.464286,56
Uinta Brewing Company Tilted Smile Imperial Pilsner,Tilted Smile Imperial Pilsner,Uinta Brewing Company,Pilsner,Imperial,9.0,30,65,18,46,59,54,71,33,0,31,64,8,66,3.442029,3.782609,3.630435,3.514493,3.536232,69
Mikkeller ApS Draft Bear,Draft Bear,Mikkeller ApS,Pilsner,Imperial,8.0,30,65,14,42,34,77,80,73,3,97,97,5,68,4.031915,4.101064,3.957447,4.026596,3.93617,94
Breckenridge Brewery Regal Pilsner,Regal Pilsner,Breckenridge Brewery,Pilsner,Imperial,7.0,30,65,36,46,20,67,49,42,6,51,104,13,85,3.483607,3.737705,3.557377,3.508197,3.532787,61
Short's Brewing Company Short's The Curl,The Curl,Short's Brewing Company,Pilsner,Imperial,7.1,30,65,28,40,24,90,43,37,3,45,116,16,85,3.866071,4.044643,3.866071,3.866071,3.875,56
Kiuchi Brewery Hitachino Nipponia,Hitachino Nest Ancient Nipponia,Kiuchi Brewery,Pilsner,Imperial,6.5,30,65,30,39,17,76,42,66,2,82,88,23,65,3.755102,3.908163,3.918367,3.908163,3.918367,49
Thomas Creek Brewery OBP Squared (Orange Blossom Pilsner Squared),Orange Blossom Pilsner² (Squared),Thomas Creek Brewery,Pilsner,Imperial,11.0,30,65,16,44,57,19,124,49,0,60,32,7,97,3.454545,3.481818,3.463636,3.427273,3.281818,55
Rahr & Sons Brewing Company Pecker Wrecker,Pecker Wrecker,Rahr & Sons Brewing Company,Pilsner,Imperial,7.0,30,65,16,48,24,87,63,26,7,28,118,8,103,3.386364,3.818182,3.659091,3.477273,3.477273,22
Blue Mountain Brewery überPils,überPils,Blue Mountain Brewery,Pilsner,Imperial,7.6,30,65,25,48,31,35,61,30,6,44,59,15,74,3.5,3.928571,3.928571,4.0,3.857143,7
Element Brewing Company Summer Pilsner Fusion,Summer Pilsner Fusion,Element Brewing Company,Pilsner,Imperial,9.1,30,65,24,33,23,38,37,28,3,31,72,10,73,3.666667,3.944444,4.166667,3.833333,4.0,9
Karl Strauss Brewing Company Whistler Imperial Pils,Whistler Imperial Pils,Karl Strauss Brewing Company,Pilsner,Imperial,7.5,30,65,22,46,20,54,53,24,1,31,88,8,85,3.56,3.92,3.64,3.7,3.78,25
Atwater Block Brewery Uber Ursa Pils,Uber Ursa Pils,Atwater Block Brewery,Pilsner,Imperial,6.8,30,65,8,20,13,50,28,13,1,17,69,3,46,3.375,3.8125,3.5625,3.5,3.5,8
New Albanian Brewing Company - Pizzeria and Public House Elsa Von Horizon,Elsa Von Horizon,New Albanian Brewing Company - Pizzeria and Public House,Pilsner,Imperial,10.0,30,65,15,18,24,30,16,3,1,3,37,8,42,3.1,3.3,3.3,3.8,3.4,5
Epic Brewing Company Epic Lager,Epic Larger,Epic Brewing Company,Pilsner,Imperial,8.5,30,65,17,23,20,41,47,22,0,42,50,3,40,3.576923,3.5,3.769231,3.807692,3.961538,13
Great Lakes Brewing Company Coffee Infused Edmund Fitzgerald Porter,Edmund Fitzgerald,Great Lakes Brewing Company,Porter,American,6.0,20,40,20,94,4,78,75,7,0,11,47,10,142,4.0,4.5,4.5,4.0,4.5,1
Deschutes Brewery Black Butte Porter,Black Butte Porter,Deschutes Brewery,Porter,American,5.2,20,40,19,88,10,66,63,10,0,11,37,4,125,4.025383,4.061303,4.001437,4.193966,4.26772,1044
Breckenridge Brewery Vanilla Porter,Vanilla Porter,Breckenridge Brewery,Porter,American,5.4,20,40,4,39,12,24,37,3,0,12,18,47,50,3.485258,3.604423,3.45516,3.521499,3.431204,814
Anchor Brewing Company Anchor Porter,Anchor Porter,Anchor Brewing Company,Porter,American,5.6,20,40,12,101,9,85,70,11,0,19,59,11,126,3.990602,4.242105,4.081203,4.167293,4.144361,1330
Sierra Nevada Brewing Co. Sierra Nevada Porter,Porter,Sierra Nevada Brewing Co.,Porter,American,5.6,20,40,6,55,9,41,23,4,0,3,20,4,86,3.799282,4.047486,3.847167,3.980846,4.048683,1253
Rogue Ales Mocha Porter,Mocha Porter,Rogue Ales,Porter,American,5.6,20,40,6,93,16,113,65,7,0,7,44,11,145,3.839009,4.047214,3.791022,3.928019,3.904025,1292
Hill Farmstead Brewery Everett Robust Porter,Everett Porter,Hill Farmstead Brewery,Porter,American,7.5,20,40,17,134,8,93,80,10,0,12,44,15,168,4.314607,4.303371,4.359551,4.533708,4.47191,89
Boston Beer Company (Samuel Adams) Samuel Adams Holiday Porter,Samuel Adams Holiday PorterBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams),Porter,American,5.8,20,40,7,60,11,32,51,4,0,5,20,20,72,3.687835,3.990608,3.732111,3.775939,3.819767,1118
Maui Brewing Co. CoCoNut Porter,Coconut Hiwa Porter,Maui Brewing Co.,Porter,American,6.0,20,40,10,52,3,39,33,0,0,41,8,9,63,3.979323,3.968045,3.866541,4.050752,4.06203,266
Three Floyds Brewing Co. & Brewpub Alpha Klaus Christmas (Xmas) Porter,Alpha Klaus Christmas (Xmas) Porter,Three Floyds Brewing Co. & Brewpub,Porter,American,6.0,20,40,18,95,16,98,79,18,0,21,94,14,110,4.203101,4.243411,4.08062,4.241085,4.17907,645
Kona Brewing Co. Pipeline Porter,Pipeline Porter,Kona Brewing Co.,Porter,American,5.3,20,40,5,61,6,80,28,1,0,9,13,3,119,3.825784,3.79007,3.632404,3.84669,3.868467,574
Atwater Block Brewery Atwater Vanilla Java Porter,Vanilla Java Porter (VJP),Atwater Block Brewery,Porter,American,5.0,20,40,4,45,11,68,34,1,0,1,17,59,109,3.225333,3.54,3.02,2.946667,2.954667,375
Highland Brewing Highland Oatmeal Porter,Oatmeal Porter,Highland Brewing,Porter,American,5.8,20,40,15,62,4,35,28,7,0,5,22,6,93,3.757796,3.909563,3.872141,3.881497,3.969854,481
Odell Brewing Company Odell Cutthroat Pale Ale,Cutthroat,Odell Brewing Company,Porter,American,5.0,20,40,5,75,3,60,52,3,0,3,36,14,112,3.7,3.85,3.816667,3.833333,3.883333,30
Mississippi Brewing Co. Mississippi Mud Black & Tan,Mississippi Mud Black & Tan,Mississippi Brewing Co.,Porter,American,5.0,20,40,13,26,4,25,26,1,1,1,15,3,57,2.923729,3.444915,2.937853,2.935028,3.108757,354
Tröegs Brewing Company Tröegs Dead Reckoning Porter,Dead Reckoning Porter,Tröegs Brewing Company,Porter,American,5.8,20,40,19,95,12,121,46,17,0,16,102,5,105,3.762948,3.940239,3.785857,3.906375,3.935259,502
Hill Farmstead Brewery Twilight Of The Idols,Twilight Of The Idols,Hill Farmstead Brewery,Porter,American,7.5,20,40,21,94,20,88,54,12,0,14,38,83,111,4.27551,4.244898,4.255102,4.397959,4.367347,49
Berkshire Brewing Company Inc. Coffeehouse Porter,Coffeehouse Porter,Berkshire Brewing Company Inc.,Porter,American,6.2,20,40,14,88,15,119,48,3,1,3,26,6,166,4.041866,4.068182,3.904306,4.069378,4.072967,418
Ballast Point Brewing Company Black Marlin Porter,Black Marlin,Ballast Point Brewing Company,Porter,American,6.0,20,40,11,77,4,56,65,14,0,21,38,13,97,3.839844,3.951172,3.882812,4.005859,4.027344,256
Flying Dog Brewery Road Dog Porter,Road Dog,Flying Dog Brewery,Porter,American,6.0,20,40,15,76,5,64,60,9,0,12,39,6,107,3.460576,3.647059,3.406758,3.55194,3.619524,799
Avery Brewing Company New World Porter,New World Porter,Avery Brewing Company,Porter,American,6.7,20,40,13,73,5,102,40,29,0,25,97,8,74,3.857809,4.061772,3.881119,3.924242,3.918415,429
Southern Tier Brewing Company Porter,Porter,Southern Tier Brewing Company,Porter,American,5.5,20,40,4,81,10,60,50,12,0,6,37,4,109,3.619835,3.749311,3.553719,3.684573,3.761708,363
Thirsty Dog Brewing Company Old Leghumper,Old Leghumper,Thirsty Dog Brewing Company,Porter,American,5.8,20,40,3,77,8,41,52,5,0,13,13,16,97,3.76,3.828571,3.674286,3.817143,3.851429,350
Central Waters Brewing Company Mudpuppy Porter,Mudpuppy,Central Waters Brewing Company,Porter,American,5.8,20,40,6,79,7,53,78,11,0,14,26,2,101,3.861878,4.008287,3.88674,3.933702,3.991713,181
Matt Brewing Company Saranac Caramel Porter,Saranac Caramel Porter,Matt Brewing Company,Porter,American,5.4,20,40,3,28,12,17,94,4,1,9,17,7,78,3.288732,3.464789,3.132629,3.068075,2.984742,426
(512) Brewing Company (512) Pecan Porter,(512) Pecan Porter(512) Brewing Company,(512) Brewing Company,Porter,American,6.2,20,40,13,66,3,41,43,4,0,3,23,6,120,4.067901,4.166667,3.981481,4.166667,4.185185,81
Matt Brewing Company Saranac Black & Tan,Saranac Black & Tan,Matt Brewing Company,Porter,American,5.4,20,40,22,66,5,50,57,9,0,11,49,4,111,3.409091,3.749053,3.442235,3.515152,3.587121,528
Midnight Sun Brewing Co. TREAT (Imperial Chocolate Pumpkin Porter),TREAT (Imperial Chocolate Pumpkin Porter),Midnight Sun Brewing Co.,Porter,American,7.8,20,40,5,141,22,61,78,4,1,71,29,102,153,4.168919,4.02027,4.063063,4.189189,4.042793,222
Summit Brewing Company Summit Great Northern Porter,Great Northern,Summit Brewing Company,Porter,American,5.6,20,40,12,83,4,74,49,8,0,2,48,11,97,3.8125,3.977273,3.681818,3.888258,3.935606,264
The Duck-Rabbit Craft Brewery Duck-Rabbit Porter,Porter,The Duck-Rabbit Craft Brewery,Porter,American,5.7,20,40,15,100,17,77,82,9,0,16,41,7,128,3.78012,3.902108,3.64006,3.766566,3.817771,332
Utah Brewers Cooperative Wasatch Polygamy Porter,Wasatch Polygamy Porter,Utah Brewers Cooperative,Porter,American,4.0,20,40,9,72,3,39,38,5,4,3,21,9,87,3.217949,3.487179,2.940171,3.209402,3.316239,117
Real Ale Brewing Company Shade Grown Coffee Porter,Coffee Porter,Real Ale Brewing Company,Porter,American,6.6,20,40,12,70,20,124,56,5,1,9,33,16,175,3.87027,3.856757,3.778378,4.02973,4.054054,185
Highland Brewing Highland Thunderstruck Coffee Porter,Thunderstruck Coffee Porter,Highland Brewing,Porter,American,5.9,20,40,7,47,7,84,32,6,0,4,19,8,100,4.05,3.975,3.875,3.875,3.85,20
DC Brau Brewing Co. Penn Quarter Porter,Penn Quarter Porter,DC Brau Brewing Co.,Porter,American,5.5,20,40,13,103,14,81,57,9,0,9,44,11,130,4.083333,4.305556,4.222222,4.055556,4.194444,18
Port City Brewing Porter,Porter,Port City Brewing,Porter,American,7.5,20,40,8,91,12,62,69,8,1,13,38,7,103,3.96875,4.0625,3.984375,4.132812,4.039062,64
NoDa Brewing Company Coco Loco,Coco Loco,NoDa Brewing Company,Porter,American,6.2,20,40,9,111,13,55,75,5,1,70,27,7,148,4.0,4.166667,4.166667,4.416667,4.166667,6
Smuttynose Brewing Company Smuttynose Baltic Porter (Big Beer Series),Smuttynose Baltic Porter,Smuttynose Brewing Company,Porter,Baltic,9.24,25,45,14,124,23,86,88,20,0,41,35,27,129,4.144872,4.255128,4.244872,4.337179,4.188462,390
Arcadia Brewing Company Arcadia Shipwreck Porter,Shipwreck Porter - Bourbon Barrel-Aged,Arcadia Brewing Company,Porter,Baltic,12.0,25,45,10,66,47,24,46,36,0,28,7,21,103,3.958763,4.015464,3.757732,3.835052,3.747423,97
Baltika Breweries Baltika #6 Porter,Baltika #6 Porter,Baltika Breweries,Porter,Baltic,7.0,25,45,5,54,24,30,96,30,0,45,10,7,88,3.591075,3.906193,3.615665,3.651184,3.685792,549
The Duck-Rabbit Craft Brewery Duck-Rabbit Baltic Porter,Baltic Porter,The Duck-Rabbit Craft Brewery,Porter,Baltic,9.0,25,45,16,108,28,75,105,29,0,53,41,18,148,4.111111,4.080247,4.133333,4.160494,4.008642,405
Surly Brewing Company Smoke,Smoke,Surly Brewing Company,Porter,Baltic,8.2,25,45,14,94,22,44,79,9,1,35,24,126,105,4.145238,4.004762,4.12619,4.309524,4.202381,210
Oy Sinebrychoff Ab Sinebrychoff Porter,Sinebrychoff Porter,Oy Sinebrychoff Ab,Porter,Baltic,7.2,25,45,5,82,8,55,80,18,0,24,20,19,100,4.128272,4.339442,4.117801,4.226003,4.164921,573
BOSS Browar Witnica S.A. Black Boss Porter,Black Boss Porter,BOSS Browar Witnica S.A.,Porter,Baltic,9.4,25,45,10,80,31,39,86,26,0,37,27,18,89,3.73348,3.843612,3.773128,3.859031,3.870044,227
"Carlsberg Sverige AB Carnegie Porter 5,5%","Carnegie Porter 5,5%",Carlsberg Sverige AB,Porter,Baltic,5.5,25,45,9,95,14,52,110,29,0,40,29,12,126,4.018152,4.023102,4.079208,4.186469,4.19802,303
Three Floyds Brewing Co. & Brewpub Topless Wytch,Topless Wytch,Three Floyds Brewing Co. & Brewpub,Porter,Baltic,9.0,25,45,4,92,15,59,60,9,0,17,31,9,114,3.90566,4.113208,4.04717,4.122642,3.990566,53
Les Trois Mousquetaires Les Trois Mousquetaires Porter Baltique,Grande Cuvée Porter Baltique,Les Trois Mousquetaires,Porter,Baltic,10.0,25,45,8,118,21,76,120,17,0,59,49,48,155,4.204225,4.211268,4.140845,4.338028,4.190141,71
Nøgne Ø - Det Kompromissløse Bryggeri A/S Porter,Porter,Nøgne Ø - Det Kompromissløse Bryggeri A/S,Porter,Baltic,7.0,25,45,20,103,24,68,93,28,0,37,36,12,130,3.9475,4.105,4.0425,4.11,4.0625,200
Great Divide Brewing Company Smoked Baltic Porter,Smoked Baltic Porter,Great Divide Brewing Company,Porter,Baltic,7.5,25,45,31,104,24,50,86,31,0,27,16,110,128,3.752252,3.828829,3.603604,3.713964,3.761261,222
Southampton Publick House Southampton Imperial Baltic Porter,Southampton Imperial Baltic Porter,Southampton Publick House,Porter,Baltic,7.2,25,45,11,90,31,79,85,20,0,38,46,8,137,3.880665,3.935045,3.888218,4.006042,4.018127,331
Deep Ellum Brewing Company Double Brown Stout,Double Brown Stout,Deep Ellum Brewing Company,Porter,Baltic,7.0,25,45,12,100,18,49,99,13,0,22,16,10,153,4.0,4.0,4.0,4.5,4.0,1
Foothills Brewing Company Foothills Baltic Porter,Baltic Porter,Foothills Brewing Company,Porter,Baltic,9.0,25,45,17,122,23,66,93,27,2,28,42,28,109,4.008333,4.104167,4.091667,4.204167,4.15,120
Brouwerij De Molen Tsarina Esra Reserva,Tsarina Esra,Brouwerij De Molen,Porter,Baltic,11.0,25,45,19,110,31,51,96,18,0,57,14,25,127,3.916667,3.833333,3.708333,3.958333,3.916667,12
Utenos Alus Porter,Porter,Utenos Alus,Porter,Baltic,6.8,25,45,8,39,24,32,99,21,0,30,22,7,100,3.536111,3.541667,3.427778,3.472222,3.441667,180
Aldaris Porteris,Porteris,Aldaris,Porter,Baltic,6.8,25,45,11,87,24,37,97,18,2,35,26,8,110,3.702899,3.967391,3.855072,3.76087,3.695652,138
Devils Backbone Brewing Company Danzig Baltic Porter,Danzig Baltic Porter,Devils Backbone Brewing Company,Porter,Baltic,8.0,25,45,7,121,17,56,87,10,1,19,20,10,122,3.875,3.5,3.625,4.0,3.75,4
Beer Here Mørke - Pumpernickel Porter,Mørke - Pumpernickel Porter,Beer Here,Porter,Baltic,7.5,25,45,17,128,13,68,87,11,0,16,44,52,211,4.113861,4.306931,4.212871,4.19802,4.069307,101
HaandBryggeriet Akevitt Porter (Barrel-Aged Porter),Akevitt,HaandBryggeriet,Porter,Baltic,7.0,25,45,20,121,44,75,103,22,0,27,62,37,148,4.060811,3.966216,3.878378,3.966216,3.898649,74
Atwater Block Brewery Atwater Bourbon Barrel Aged Shaman's Porter,Bourbon Barrel Aged Shaman's Porter,Atwater Block Brewery,Porter,Baltic,6.8,25,45,13,80,61,49,62,36,0,26,32,27,143,3.222222,3.888889,3.388889,3.388889,3.222222,9
Uncommon Brewers Baltic Porter,Baltic Porter,Uncommon Brewers,Porter,Baltic,7.8,25,45,15,99,39,40,67,22,0,41,32,27,77,3.945946,3.824324,3.891892,3.972973,3.77027,37
Browar Amber Grand Imperial Porter,Grand Imperial Porter,Browar Amber,Porter,Baltic,7.2,25,45,11,96,26,58,141,25,0,55,31,14,122,3.666667,3.822222,3.622222,3.766667,3.622222,45
Baird Brewing Company / Fishmarket Taproom Kurofune Porter,Kurofune Porter,Baird Brewing Company / Fishmarket Taproom,Porter,Baltic,6.0,25,45,13,108,20,85,81,20,1,33,52,10,147,3.797101,4.028986,3.775362,3.855072,3.971014,69
Hill Farmstead Brewery Fear And Trembling (Cabernet/Bourbon Blend),Fear And Trembling (Cabernet/Bourbon Blend),Hill Farmstead Brewery,Porter,Baltic,9.3,25,45,25,97,62,34,71,22,0,32,7,104,135,4.170455,4.136364,4.204545,4.340909,4.181818,44
BrewDog Alice Porter,Alice Porter,BrewDog,Porter,Baltic,5.2,25,45,15,73,19,100,74,47,1,32,63,17,119,3.942857,3.857143,3.8,3.985714,3.985714,35
Brouwerij Sterkens N.V. Hoogstraten Poorter,Hoogstraten Poorter,Brouwerij Sterkens N.V.,Porter,Baltic,6.5,25,45,9,54,11,21,87,28,0,48,14,10,63,3.53125,3.65625,3.325,3.5,3.55625,80
Thisted Bryghus Limfjordsporter,Limfjordsporter,Thisted Bryghus,Porter,Baltic,7.9,25,45,9,103,22,67,60,22,5,17,33,40,126,3.885965,4.140351,3.877193,3.921053,3.938596,57
Fuller Smith & Turner PLC Fuller's London Porter,Fuller's London Porter,Fuller Smith & Turner PLC,Porter,English,5.4,20,30,12,91,6,50,64,8,0,19,28,9,92,4.149673,4.09869,4.104303,4.279701,4.27362,1069
Harviestoun Brewery Ltd. Old Engine Oil,Old Engine Oil Black Ale,Harviestoun Brewery Ltd.,Porter,English,6.0,20,30,9,130,9,81,85,12,0,16,48,22,154,3.996992,4.099248,4.045865,4.130827,4.052632,665
Boulevard Brewing Co. Bully! Porter,Bully! Porter,Boulevard Brewing Co.,Porter,English,6.0,20,30,10,79,14,47,52,14,1,13,36,14,99,3.804393,4.125523,3.791841,3.991632,4.001046,478
Boston Beer Company (Samuel Adams) Samuel Adams Honey Porter,Samuel Adams Honey PorterBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams),Porter,English,5.45,20,30,10,66,19,61,99,13,1,8,44,4,125,3.680697,3.979681,3.70029,3.738752,3.770682,689
Foothills Brewing Company People's Porter,People's Porter,Foothills Brewing Company,Porter,English,5.8,20,30,13,98,8,82,90,13,0,18,58,1,147,3.974576,3.983051,3.974576,4.09322,4.186441,59
Yards Brewing Co. General Washington's Tavern Porter,Washington's Porter,Yards Brewing Co.,Porter,English,7.0,20,30,13,73,6,56,87,22,0,27,24,13,139,3.705314,3.891304,3.73913,3.828502,3.801932,207
Mayflower Brewing Company Mayflower Porter,Porter,Mayflower Brewing Company,Porter,English,5.2,20,30,20,90,9,75,53,4,0,3,44,13,135,4.011236,4.005618,3.977528,4.117978,4.176966,178
St. Peter's Brewery Co Ltd St. Peter's Old-Style Porter,Old-Style Porter,St. Peter's Brewery Co Ltd,Porter,English,5.1,20,30,9,91,13,59,62,14,0,20,43,19,100,3.770235,3.800261,3.668407,3.860313,3.891645,383
Meantime Brewing Company Limited Coffee Porter,Coffee Porter,Meantime Brewing Company Limited,Porter,English,6.0,20,30,17,75,6,114,44,10,3,7,33,14,174,3.939944,3.839385,3.539106,3.772346,3.72067,358
Brouwerij Drie Fonteinen Zwet.Be,Zwet.Be,Brouwerij Drie Fonteinen,Porter,English,7.0,20,30,23,53,12,23,35,70,0,33,6,9,67,3.625,4.05,3.65,3.6625,3.625,40
Ridgeway Brewing Santa's Butt,Santa's Butt,Ridgeway Brewing,Porter,English,6.0,20,30,13,69,18,59,75,14,0,18,46,8,137,3.397177,3.52621,3.268145,3.40121,3.467742,248
Meantime Brewing Company Limited London Porter,London Porter,Meantime Brewing Company Limited,Porter,English,6.5,20,30,10,90,8,48,57,9,0,4,22,13,123,3.916318,3.974895,3.855649,4.117155,4.108787,239
Starr Hill Brewery Box Car Pumpkin Porter,Boxcarr Pumpkin Porter,Starr Hill Brewery,Porter,English,5.2,20,30,20,41,8,18,28,7,0,65,13,70,59,3.528571,3.642857,3.157143,3.271429,3.285714,35
Green Man Brewery Green Man Porter,Porter,Green Man Brewery,Porter,English,6.0,20,30,9,93,10,58,60,10,1,7,43,7,120,3.764706,3.735294,3.823529,3.882353,3.911765,17
Yazoo Brewing Company Sly Rye Porter,Sly Rye Porter,Yazoo Brewing Company,Porter,English,5.7,20,30,14,77,6,33,59,9,0,13,25,13,143,3.760417,3.770833,3.6875,3.84375,3.895833,48
Short's Brewing Company Short's Publican Porter (Imperial London Porter),Publican Porter (Imperial London Porter),Short's Brewing Company,Porter,English,9.15,20,30,13,141,29,102,91,15,2,23,52,18,155,4.104651,4.186047,4.290698,4.244186,4.186047,43
D.L. Geary Brewing Company Geary's London Style Porter,Geary's London Porter,D.L. Geary Brewing Company,Porter,English,4.2,20,30,14,90,7,82,48,4,0,5,42,11,119,3.75,3.823171,3.637195,3.777439,3.911585,164
Darwin Brewery Ltd. Original Flag Porter,Original Flag Porter,Darwin Brewery Ltd.,Porter,English,5.0,20,30,15,84,8,55,65,15,0,19,35,9,119,3.872781,3.807692,3.754438,3.863905,4.0,169
Greenport Harbor Brewing Company Black Duck Porter,Black Duck Porter,Greenport Harbor Brewing Company,Porter,English,4.7,20,30,14,85,7,78,62,11,0,13,49,13,110,4.0,4.15625,3.9375,4.125,4.1875,16
Federal Jack's Restaurant & Brew Pub Kennebunkport Porter,Kennebunkport Porter,Federal Jack's Restaurant & Brew Pub,Porter,English,5.6,20,30,19,47,6,47,32,7,0,8,32,4,63,3.5,3.5,3.0,3.0,3.0,1
Ale Asylum Contorter,Contorter,Ale Asylum,Porter,English,4.8,20,30,12,117,6,65,61,2,0,1,25,5,125,3.781818,3.763636,3.618182,3.8,3.827273,55
